Product Name,Category,Sub-category,Company,Retail Price,Consumer Price,Bulk Price,Bulk Limit,imageUrl,imageUrl
EggTreat Bubble Rs.10 (24Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/products/medium-1716470264276-HSDS0256-1..webp,https://admin.dealcart.io/products/medium-1716470264276-HSDS0256-1..webp
Melon Treat Jar Rs.5 (50Pcs),Sour & Sweets,Bubble,JoJo,250,210,205,,https://admin.dealcart.io/products/medium-1716476748097-HSDS0282-1..webp,https://admin.dealcart.io/products/medium-1716476748097-HSDS0282-1..webp
Sherbat Dragon Rs.10 (24Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/products/medium-1723535206150-WOKALI%20Coffee%20Sherbet%20Body%20Scrub%20350ml%20WKL692..webp,https://admin.dealcart.io/products/medium-1723535206150-WOKALI%20Coffee%20Sherbet%20Body%20Scrub%20350ml%20WKL692..webp
Pi-Wi's Tape Gum Rs.10 (24Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,,
Banana Bubble Rs.5 (50Pcs),Sour & Sweets,Bubble,JoJo,250,210,205,,https://admin.dealcart.io/products/medium-1762337762258-Fruitamins%20Banana%20Falooda%20290%20ml..webp,https://admin.dealcart.io/products/medium-1762337762258-Fruitamins%20Banana%20Falooda%20290%20ml..webp
Chic Chic Bubble Rs.10 (24Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/products/medium-1742282229856-Printed%20Pocket%20Design%20Yellow%20Short%20Sleeve%20Women%E2%80%99s%20Night%20Suit%20-%20Yellow%20-%20M..webp,https://admin.dealcart.io/products/medium-1742282229856-Printed%20Pocket%20Design%20Yellow%20Short%20Sleeve%20Women%E2%80%99s%20Night%20Suit%20-%20Yellow%20-%20M..webp
Sour Brain Jar Rs.5 (50Pcs),Sour & Sweets,Bubble,JoJo,250,210,205,,,
Fizzy Speckle Bubble Jar Rs.5 (50 Pcs),Sour & Sweets,Bubble,JoJo,250,220,210,,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp,https://admin.dealcart.io/products/medium-1758019965147-7up%20Silver%20Rs.5%20%281x48%29_11zon..webp
Sour Gum Cord Rs.20 (24 Pcs),Sour & Sweets,Bubble,JoJo,480,430,410,,https://admin.dealcart.io/products/medium-1738572366055-Hero%20Image%20100ML..webp,https://admin.dealcart.io/products/medium-1738572366055-Hero%20Image%20100ML..webp
Spaghetti Bubble Rs.10 (24 Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,,
Pencils Bubble Rs.10 (24 Pcs),Sour & Sweets,Bubble,JoJo,240,210,205,,https://admin.dealcart.io/products/medium-1740375726478-Essence%20Hello%20Kitty%20Lash%20%26%20Brow%20Styler%2001..webp,https://admin.dealcart.io/products/medium-1740375726478-Essence%20Hello%20Kitty%20Lash%20%26%20Brow%20Styler%2001..webp
Bubbler Bubble Rs.5 (50 Pcs),Sour & Sweets,Bubble,JoJo,250,220,210,,,
Ting Zing Powder Bubble Rs.5 (30 Pcs),Sour & Sweets,Bubble,JoJo,150,135,128,,https://admin.dealcart.io/products/medium-1728472774937-United%20King%20Chips%20Black%20Pepper%20Rs..webp,https://admin.dealcart.io/products/medium-1728472774937-United%20King%20Chips%20Black%20Pepper%20Rs..webp
